City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
262,Pemberton,CA,50.3164,-122.8027,76.69,57,59,2.64,broken clouds
263,Qui Nhon,VN,13.7667,109.2333,78.87,87,86,4.99,overcast clouds
264,Ginda,IN,30.6945,78.4932,65.77,96,98,2.26,overcast clouds
265,Lixourion,GR,38.2019,20.4314,87.8,48,0,13.8,clear sky
266,Hirara,JP,24.8,125.2833,84.88,78,1,12.24,clear sky
267,Guanare,VE,9.0418,-69.7421,73.42,100,46,2.3,scattered clouds
268,Ust-Tsilma,RU,65.441,52.1498,67.98,54,66,9.51,broken clouds
269,Saint George,US,37.1041,-113.5841,101.62,19,0,3.44,clear sky
270,Vestmanna,FO,62.1564,-7.1664,49.12,100,100,9.22,overcast clouds
271,Waingapu,ID,-9.6567,120.2641,74.43,86,78,9.42,broken clouds
272,Tomatlan,MX,19.9333,-105.25,91.53,61,17,4.21,few clouds
273,Amahai,ID,-3.3333,128.9167,75.47,85,66,4.76,broken clouds
274,Nouadhibou,MR,20.931,-17.0347,76.98,78,10,14.97,clear sky
275,Meadville,US,41.6414,-80.1515,83.44,64,75,11.5,broken clouds
276,Wildomar,US,33.5989,-117.28,89.78,32,0,8.05,clear sky
277,Port Elizabeth,ZA,-33.918,25.5701,54.1,90,0,1.01,clear sky
278,Manica,FR,49.0,-1.1667,77.05,46,52,9.15,broken clouds
279,Itoman,JP,26.1247,127.6694,84.22,89,15,11.5,few clouds
280,Soe,ID,-9.8607,124.284,61.92,94,41,3.62,scattered clouds
281,Polis,CY,35.0367,32.4264,82.22,67,0,7.2,clear sky
282,Gibraltar,GI,36.1447,-5.3526,78.75,78,20,11.5,few clouds
283,Araouane,ML,18.9048,-3.5265,97.57,28,67,6.04,broken clouds
284,Warmbad,NA,-28.45,18.7333,63.97,31,0,11.36,clear sky
285,Kruisfontein,ZA,-34.0033,24.7314,51.89,85,0,1.54,clear sky
286,Yaan,NG,7.3833,8.5667,76.84,79,85,6.15,overcast clouds
287,Mogadishu,SO,2.0371,45.3438,76.3,85,52,18.88,broken clouds
288,Genhe,CN,50.7833,121.5167,60.46,92,38,2.3,scattered clouds
289,Jacareacanga,BR,-6.2222,-57.7528,99.1,26,27,2.8,scattered clouds
290,Marathon,US,44.9,-89.7668,81.93,54,0,20.71,clear sky
291,Aketi,CD,2.7388,23.7833,77.04,77,97,1.83,overcast clouds
292,Mahebourg,MU,-20.4081,57.7,70.09,73,40,14.97,scattered clouds
293,Ponto Novo,BR,-10.8628,-40.1336,79.12,50,99,8.66,overcast clouds
294,Iskateley,RU,67.6803,53.1512,49.78,63,2,13.0,clear sky
295,Ogdensburg,US,44.6942,-75.4863,83.44,64,75,24.16,broken clouds
296,Sioux Lookout,CA,50.1001,-91.917,75.27,50,40,11.5,scattered clouds
297,Anadyr,RU,64.75,177.4833,45.1,75,0,4.47,clear sky
298,Kavaratti,IN,10.5669,72.642,80.98,81,89,20.33,overcast clouds
299,Biryusinsk,RU,55.9634,97.8235,59.7,70,84,3.62,broken clouds
300,Janossomorja,HU,47.7862,17.136,97.09,14,27,3.42,scattered clouds
301,Umm Lajj,SA,25.0213,37.2685,87.73,56,3,9.8,clear sky
302,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,73,20,18.41,few clouds
303,Meulaboh,ID,4.1363,96.1285,77.68,84,100,4.56,overcast clouds
304,Ulundi,ZA,-28.3352,31.4162,59.61,91,58,4.21,broken clouds
